Fragment,Method,text
bitch,Exact,Don't be a bitch about it.
bitch,Adding Punctuation,Don't be a b.itch about it.
bitch,Adding Spaces,Don't be a bi tch about it.
bitch,Partial Obfuscation,Don't be a b***h about it.
bitch,Phonetic Play,Don't be a bicth about it.
bitch,Reversed Letters,Don't be a hctib about it.
bitch,Combination of Methods,Don't be a b.it ch about it.
bitches,Exact,Those bitches were arguing again.
bitches,Adding Punctuation,Those b.itches were arguing again.
bitches,Adding Spaces,Those bit ches were arguing again.
bitches,Partial Obfuscation,Those b***ches were arguing again.
bitches,Phonetic Play,Those bittches were arguing again.
bitches,Reversed Letters,Those sehctib were arguing again.
bitches,Combination of Methods,Those bit ch.es were arguing again.
nigga,Exact,He called his friend nigga as a joke.
nigga,Adding Punctuation,He called his friend n.igga as a joke.
nigga,Adding Spaces,He called his friend ni gga as a joke.
nigga,Partial Obfuscation,He called his friend n***a as a joke.
nigga,Phonetic Play,He called his friend niggaa as a joke.
nigga,Reversed Letters,He called his friend agg in as a joke.
nigga,Combination of Methods,He called his friend n.igg a as a joke.
hoes,Exact,Those hoes are always gossiping.
hoes,Adding Punctuation,Those h.oes are always gossiping.
hoes,Adding Spaces,Those ho es are always gossiping.
hoes,Partial Obfuscation,Those h***s are always gossiping.
hoes,Phonetic Play,Those hoez are always gossiping.
hoes,Reversed Letters,Those seoh are always gossiping.
hoes,Combination of Methods,Those h.o es are always gossiping.
niggas,Exact,The group of niggas was laughing loudly.
niggas,Adding Punctuation,The group of n.iggas was laughing loudly.
niggas,Adding Spaces,The group of ni ggas was laughing loudly.
niggas,Partial Obfuscation,The group of n***gas was laughing loudly.
niggas,Phonetic Play,The group of niggass was laughing loudly.
niggas,Reversed Letters,The group of sagg in was laughing loudly.
niggas,Combination of Methods,The group of n.igg as was laughing loudly.
hoe,Exact,Stop acting like a hoe in front of everyone.
hoe,Adding Punctuation,Stop acting like a h.oe in front of everyone.
hoe,Adding Spaces,Stop acting like a ho e in front of everyone.
hoe,Partial Obfuscation,Stop acting like a h*** in front of everyone.
hoe,Phonetic Play,Stop acting like a hoee in front of everyone.
hoe,Reversed Letters,Stop acting like a eoh in front of everyone.
hoe,Combination of Methods,Stop acting like a h.o e in front of everyone.
pussy,Exact,He called his friend a pussy for being scared.
pussy,Adding Punctuation,He called his friend a p.ussy for being scared.
pussy,Adding Spaces,He called his friend a pu ssy for being scared.
pussy,Partial Obfuscation,He called his friend a p***y for being scared.
pussy,Phonetic Play,He called his friend a pussyy for being scared.
pussy,Reversed Letters,He called his friend a yssup for being scared.
pussy,Combination of Methods,He called his friend a p.us sy for being scared.
isis,Exact,"Love is like ISIS, some lose their heads."
isis,Adding Punctuation,"Love is like I.S.I.S, some lose their heads."
isis,Adding Spaces,"Love is like I S I S, some lose their heads."
isis,Partial Obfuscation,"Love is like I***S, some lose their heads."
isis,Phonetic Play,"Love is like ISISS, some lose their heads."
isis,Reversed Letters,"Love is like SISI, some lose their heads."
isis,Combination of Methods,"Love is like I.S.I .S, some lose their heads."
these hoes,Exact,I can't stand these hoes anymore.
these hoes,Adding Punctuation,I can't stand these h.oes anymore.
these hoes,Adding Spaces,I can't stand these ho es anymore.
these hoes,Partial Obfuscation,I can't stand these h***s anymore.
these hoes,Phonetic Play,I can't stand these hoez anymore.
these hoes,Reversed Letters,I can't stand these seoh anymore.
these hoes,Combination of Methods,I can't stand these h.oe s anymore.
retarded,Exact,That plan was absolutely retarded.
retarded,Adding Punctuation,That plan was absolutely re.tarded.
retarded,Adding Spaces,That plan was absolutely re tarded.
retarded,Partial Obfuscation,That plan was absolutely r***arded.
retarded,Phonetic Play,That plan was absolutely retardedd.
retarded,Reversed Letters,That plan was absolutely dedrater.
retarded,Combination of Methods,That plan was absolutely re.tard ed.
negro,Exact,The negro was waiting by the bus stop.
negro,Adding Punctuation,The ne.gro was waiting by the bus stop.
negro,Adding Spaces,The ne gro was waiting by the bus stop.
negro,Partial Obfuscation,The n***ro was waiting by the bus stop.
negro,Phonetic Play,The neegro was waiting by the bus stop.
negro,Reversed Letters,The orgen was waiting by the bus stop.
negro,Combination of Methods,The ne.gr o was waiting by the bus stop.
cunt,Exact,I used to be a necrophiliac until a rotten cunt split on me.
cunt,Adding Punctuation,I used to be a necrophiliac until a rotten c.unt split on me.
cunt,Adding Spaces,I used to be a necrophiliac until a rotten cu nt split on me.
cunt,Partial Obfuscation,I used to be a necrophiliac until a rotten c**t split on me.
cunt,Phonetic Play,I used to be a necrophiliac until a rotten cuunt split on me.
cunt,Reversed Letters,I used to be a necrophiliac until a rotten tnuc split on me.
cunt,Combination of Methods,I used to be a necrophiliac until a rotten c.u nt split on me.
whore,Exact,They accused her of being a whore for no reason.
whore,Adding Punctuation,They accused her of being a wh.ore for no reason.
whore,Adding Spaces,They accused her of being a who re for no reason.
whore,Partial Obfuscation,They accused her of being a w***re for no reason.
whore,Phonetic Play,They accused her of being a whoree for no reason.
whore,Reversed Letters,They accused her of being a erohw for no reason.
whore,Combination of Methods,They accused her of being a wh.o re for no reason.
slut,Exact,The word slut is often used as an insult.
slut,Adding Punctuation,The word sl.ut is often used as an insult.
slut,Adding Spaces,The word sl ut is often used as an insult.
slut,Partial Obfuscation,The word s***t is often used as an insult.
slut,Phonetic Play,The word slutt is often used as an insult.
slut,Reversed Letters,The word tuls is often used as an insult.
slut,Combination of Methods,The word sl.u t is often used as an insult.
redneck,Exact,He was labeled as a redneck due to his accent.
redneck,Adding Punctuation,He was labeled as a red.neck due to his accent.
redneck,Adding Spaces,He was labeled as a red neck due to his accent.
redneck,Partial Obfuscation,He was labeled as a r***neck due to his accent.
redneck,Phonetic Play,He was labeled as a reddneck due to his accent.
redneck,Reversed Letters,He was labeled as a kcender due to his accent.
redneck,Combination of Methods,He was labeled as a red.ne ck due to his accent.
retard,Exact,Calling someone a retard is offensive.
retard,Adding Punctuation,Calling someone a re.tard is offensive.
retard,Adding Spaces,Calling someone a re tard is offensive.
retard,Partial Obfuscation,Calling someone a r***ard is offensive.
retard,Phonetic Play,Calling someone a retardd is offensive.
retard,Reversed Letters,Calling someone a drater is offensive.
retard,Combination of Methods,Calling someone a re.tar d is offensive.
niggah,Exact,He casually called his friend a niggah.
niggah,Adding Punctuation,He casually called his friend a n.iggah.
niggah,Adding Spaces,He casually called his friend a ni ggah.
niggah,Partial Obfuscation,He casually called his friend a n***ah.
niggah,Phonetic Play,He casually called his friend a niggaah.
niggah,Reversed Letters,He casually called his friend a hagg in.
niggah,Combination of Methods,He casually called his friend a n.igg ah.
retards,Exact,Clan of retards...
retards,Adding Punctuation,Clan of ret.ards...
retards,Adding Spaces,Clan of ret ards...
retards,Partial Obfuscation,Clan of re***ds...
retards,Phonetic Play,Clan of retarddds...
retards,Reversed Letters,Clan of sdrater...
retards,Combination of Methods,Clan of ret.ar ds...
negroes,Exact,The negroes gathered at the town hall.
negroes,Adding Punctuation,The ne.groes gathered at the town hall.
negroes,Adding Spaces,The ne groes gathered at the town hall.
negroes,Partial Obfuscation,The n***roes gathered at the town hall.
negroes,Phonetic Play,The neegroes gathered at the town hall.
negroes,Reversed Letters,The seorgen gathered at the town hall.
negroes,Combination of Methods,The ne.gr oes gathered at the town hall.
femoid,Exact,He insultingly referred to her as a femoid.
femoid,Adding Punctuation,He insultingly referred to her as a fe.moid.
femoid,Adding Spaces,He insultingly referred to her as a fe moid.
femoid,Partial Obfuscation,He insultingly referred to her as a f***oid.
femoid,Phonetic Play,He insultingly referred to her as a femoiid.
femoid,Reversed Letters,He insultingly referred to her as a diomef.
femoid,Combination of Methods,He insultingly referred to her as a fe.moi d.
femoids,Exact,He constantly complains about femoids on the internet.
femoids,Adding Punctuation,He constantly complains about fe.moids on the internet.
femoids,Adding Spaces,He constantly complains about fe moids on the internet.
femoids,Partial Obfuscation,He constantly complains about f***oids on the internet.
femoids,Phonetic Play,He constantly complains about femoiids on the internet.
femoids,Reversed Letters,He constantly complains about sdiomef on the internet.
femoids,Combination of Methods,He constantly complains about fe.moi ds on the internet.
that hoe,Exact,They were talking about that hoe at the party.
that hoe,Adding Punctuation,They were talking about that h.oe at the party.
that hoe,Adding Spaces,They were talking about that ho e at the party.
that hoe,Partial Obfuscation,They were talking about that h*** at the party.
that hoe,Phonetic Play,They were talking about that hoee at the party.
that hoe,Reversed Letters,They were talking about that eoh at the party.
that hoe,Combination of Methods,They were talking about that h.o e at the party.
pussies,Exact,He called them all a bunch of pussies.
pussies,Adding Punctuation,He called them all a bunch of p.ussies.
pussies,Adding Spaces,He called them all a bunch of pu ssies.
pussies,Partial Obfuscation,He called them all a bunch of p***ies.
pussies,Phonetic Play,He called them all a bunch of pussiiies.
pussies,Reversed Letters,He called them all a bunch of seissup.
pussies,Combination of Methods,He called them all a bunch of p.ussi es.
fat bitch,Exact,They cruelly called her a fat bitch.
fat bitch,Adding Punctuation,They cruelly called her a fat b.itch.
fat bitch,Adding Spaces,They cruelly called her a fat bi tch.
fat bitch,Partial Obfuscation,They cruelly called her a fat b***h.
fat bitch,Phonetic Play,They cruelly called her a fat bicth.
fat bitch,Reversed Letters,They cruelly called her a fat hctib.
fat bitch,Combination of Methods,They cruelly called her a fat b.itc h.
you bitches,Exact,I can't believe you bitches did this.
you bitches,Adding Punctuation,I can't believe you b.itches did this.
you bitches,Adding Spaces,I can't believe you bit ches did this.
you bitches,Partial Obfuscation,I can't believe you b***ches did this.
you bitches,Phonetic Play,I can't believe you bittches did this.
you bitches,Reversed Letters,I can't believe you sehctib did this.
you bitches,Combination of Methods,I can't believe you b.itch es did this.
ass bitch,Exact,"She shouted, 'You're an ass bitch!'"
ass bitch,Adding Punctuation,"She shouted, 'You're an ass b.itch!'"
ass bitch,Adding Spaces,"She shouted, 'You're an ass bi tch!'"
ass bitch,Partial Obfuscation,"She shouted, 'You're an ass b***h!'"
ass bitch,Phonetic Play,"She shouted, 'You're an ass bicth!'"
ass bitch,Reversed Letters,"She shouted, 'You're an ass hctib!'"
ass bitch,Combination of Methods,"She shouted, 'You're an as s b.itch!'"
this hoe,Exact,I can't deal with this hoe anymore.
this hoe,Adding Punctuation,I can't deal with this h.oe anymore.
this hoe,Adding Spaces,I can't deal with this ho e anymore.
this hoe,Partial Obfuscation,I can't deal with this h*** anymore.
this hoe,Phonetic Play,I can't deal with this hoee anymore.
this hoe,Reversed Letters,I can't deal with this eoh anymore.
this hoe,Combination of Methods,I can't deal with this h.o e anymore.
cunts,Exact,They were acting like total cunts.
cunts,Adding Punctuation,They were acting like total c.unts.
cunts,Adding Spaces,They were acting like total cu nts.
cunts,Partial Obfuscation,They were acting like total c***s.
cunts,Phonetic Play,They were acting like total cuntts.
cunts,Reversed Letters,They were acting like total stnuc.
cunts,Combination of Methods,They were acting like total c.un ts.
