msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
Don't be a bitch about it.,"[{'text': 'bitch', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 11, 'end_pos': 15}]",2025-01-20T07:16:01.346962057Z,2025-01-20 12:46:02.157468
Those bitches were arguing again.,"[{'text': 'bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 6, 'end_pos': 12}]",2025-01-20T07:16:20.863454576Z,2025-01-20 12:46:21.979034
He called his friend nigga as a joke.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 25}]",2025-01-20T07:16:40.381351551Z,2025-01-20 12:46:41.215107
He called his friend n.igga as a joke.,"[{'text': 'n.igga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 26}]",2025-01-20T07:16:47.893849341Z,2025-01-20 12:46:48.211824
He called his friend ni gga as a joke.,"[{'text': 'ni gga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 26}]",2025-01-20T07:16:49.894717165Z,2025-01-20 12:46:50.213983
He called his friend niggaa as a joke.,"[{'text': 'niggaa', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 26}]",2025-01-20T07:16:53.897942512Z,2025-01-20 12:46:54.218689
He called his friend n.igg a as a joke.,"[{'text': 'n.igg a', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 27}]",2025-01-20T07:17:03.404501451Z,2025-01-20 12:47:04.218564
Those hoes are always gossiping.,"[{'text': 'Those hoes', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 0, 'end_pos': 9}]",2025-01-20T07:17:05.406292446Z,2025-01-20 12:47:06.215262
Those ho es are always gossiping.,"[{'text': 'Those ho', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 0, 'end_pos': 7}]",2025-01-20T07:17:09.410316615Z,2025-01-20 12:47:09.988756
The group of niggas was laughing loudly.,"[{'text': 'niggas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 18}]",2025-01-20T07:17:24.928706009Z,2025-01-20 12:47:25.998351
The group of n.iggas was laughing loudly.,"[{'text': 'n.iggas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 19}]",2025-01-20T07:17:26.929564982Z,2025-01-20 12:47:28.005407
The group of ni ggas was laughing loudly.,"[{'text': 'ni ggas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 19}]",2025-01-20T07:17:34.436224046Z,2025-01-20 12:47:35.005525
The group of n***gas was laughing loudly.,"[{'text': 'n***gas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 19}]",2025-01-20T07:17:36.439594093Z,2025-01-20 12:47:37.245307
The group of niggass was laughing loudly.,"[{'text': 'niggass', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 19}]",2025-01-20T07:17:38.440209192Z,2025-01-20 12:47:39.013659
The group of n.igg as was laughing loudly.,"[{'text': 'n.igg as', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 20}]",2025-01-20T07:17:42.441881851Z,2025-01-20 12:47:43.466480
Stop acting like a hoe in front of everyone.,"[{'text': 'hoe', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 19, 'end_pos': 21}]",2025-01-20T07:17:49.952905853Z,2025-01-20 12:47:50.254844
He called his friend a pussy for being scared.,"[{'text': 'pussy', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 23, 'end_pos': 27}]",2025-01-20T07:18:09.469392509Z,2025-01-20 12:48:10.017867
He called his friend a pussyy for being scared.,"[{'text': 'pussyy', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 23, 'end_pos': 28}]",2025-01-20T07:18:22.982777261Z,2025-01-20 12:48:24.050963
"Love is like ISIS, some lose their heads.","[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 16}]",2025-01-20T07:18:28.989366632Z,2025-01-20 12:48:29.247532
"Love is like I.S.I.S, some lose their heads.","[{'text': 'I.S.I.S', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 19}]",2025-01-20T07:18:36.495549412Z,2025-01-20 12:48:37.067392
"Love is like I S I S, some lose their heads.","[{'text': 'I S I S', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 19}]",2025-01-20T07:18:38.497027775Z,2025-01-20 12:48:39.260921
"Love is like I.S.I .S, some lose their heads.","[{'text': 'I.S.I .S', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 20}]",2025-01-20T07:18:52.011979871Z,2025-01-20 12:48:53.253897
I can't stand these hoes anymore.,"[{'text': ""I can't stand these hoes"", 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 0, 'end_pos': 23}]",2025-01-20T07:18:54.013646903Z,2025-01-20 12:48:55.095031
I can't stand these ho es anymore.,"[{'text': ""I can't stand these ho"", 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 0, 'end_pos': 21}]",2025-01-20T07:18:58.011779871Z,2025-01-20 12:48:58.256662
That plan was absolutely retarded.,"[{'text': 'retarded', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 25, 'end_pos': 32}]",2025-01-20T07:19:13.531159663Z,2025-01-20 12:49:14.270269
That plan was absolutely re.tarded.,"[{'text': 'tarded', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 28, 'end_pos': 33}]",2025-01-20T07:19:15.530633836Z,2025-01-20 12:49:16.261354
That plan was absolutely re tarded.,"[{'text': 'tarded', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 28, 'end_pos': 33}]",2025-01-20T07:19:23.037949782Z,2025-01-20 12:49:24.331175
That plan was absolutely retardedd.,"[{'text': 'retardedd', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 25, 'end_pos': 33}]",2025-01-20T07:19:27.041289871Z,2025-01-20 12:49:28.124449
The negro was waiting by the bus stop.,"[{'text': 'negro', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 4, 'end_pos': 8}]",2025-01-20T07:19:38.551394794Z,2025-01-20 12:49:39.264374
The neegro was waiting by the bus stop.,"[{'text': 'neegro', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 4, 'end_pos': 9}]",2025-01-20T07:19:46.558742211Z,2025-01-20 12:49:47.132390
The ne.gr o was waiting by the bus stop.,"[{'text': 'ne.gr', 'link': {'host': 'ne.gr'}}]",racism,1,"[{'start_pos': 4, 'end_pos': 8}]",2025-01-20T07:19:56.066429937Z,2025-01-20 12:49:57.270776
I used to be a necrophiliac until a rotten cunt split on me.,"[{'text': 'cunt', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 43, 'end_pos': 46}]",2025-01-20T07:19:58.067091102Z,2025-01-20 12:49:59.109600
