msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
why are all nigga fast. because all the slow ones are in jail.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 12, 'end_pos': 16}]",2025-01-19T10:39:00.41062424Z,2025-01-19 16:09:00.077514
i like nigga like i like my apples hanging on a tree,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:39:02.631575517Z,2025-01-19 16:09:02.751261
"what's the deal with nigga they're not black, and they're certainly not people","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 25}]",2025-01-19T10:39:04.706755535Z,2025-01-19 16:09:04.746164
white people cant be racist because racism is a crime and crime is for nigga,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 71, 'end_pos': 75}]",2025-01-19T10:39:06.44457291Z,2025-01-19 16:09:06.076684
do all nigga have a problem with slavery ? or it is just mine ?,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:39:08.663323051Z,2025-01-19 16:09:09.063884
when nigga jerkoff.... is it considered slavebaiting or masterbaiting,"[{'text': 'nigga jerkoff', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 5, 'end_pos': 17}]",2025-01-19T10:39:15.950834988Z,2025-01-19 16:09:16.096254
should nigga get a free pass to heaven for their lives being so difficult on earth? or should white people for having to live with them?,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:39:18.270608186Z,2025-01-19 16:09:18.831689
what do you call 9 nigga in a hot tub? coco puffs.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 19, 'end_pos': 23}]",2025-01-19T10:39:20.145097795Z,2025-01-19 16:09:20.104516
i love nigga i feel like everyone should own one,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:39:22.005133658Z,2025-01-19 16:09:21.862742
"i heard that a hundred-thousand nigga died last month. the police force must really be working hard, huh?","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 32, 'end_pos': 36}]",2025-01-19T10:39:24.050053255Z,2025-01-19 16:09:24.081853
i dont have anything against nigga. i think everyone should own one.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 29, 'end_pos': 33}]",2025-01-19T10:39:31.511011611Z,2025-01-19 16:09:31.862468
why do we say nigga are a minority? just a fancy way of saying we're low on stock,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 14, 'end_pos': 18}]",2025-01-19T10:39:33.525661605Z,2025-01-19 16:09:34.090257
do you know why you cant find a black faced smiley ? its because nigga are not allowed to have emotions .,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 65, 'end_pos': 69}]",2025-01-19T10:39:35.546139975Z,2025-01-19 16:09:35.949585
why do nigga always have nightmares? because we killed the only one who had a dream,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:39:37.556928526Z,2025-01-19 16:09:37.862347
what do you call 500 nigga running down a hill? jailbreak.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 25}]",2025-01-19T10:39:39.565196938Z,2025-01-19 16:09:40.098424
what does the front page of a racist jokes newspaper say ? this paper would be racist if nigga could be read .,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 89, 'end_pos': 93}]",2025-01-19T10:39:47.27113574Z,2025-01-19 16:09:47.845899
why do most nigga have short curly hair? because it resembles the cotton they use to pick,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 12, 'end_pos': 16}]",2025-01-19T10:39:49.295950973Z,2025-01-19 16:09:49.862967
what's wrong with a cadillac with 5 nigga going over a cliff? a cadillac can seat 6.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 36, 'end_pos': 40}]",2025-01-19T10:39:51.085052919Z,2025-01-19 16:09:50.848538
racism isn't real... nigga are just worse,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 25}]",2025-01-19T10:39:53.109056508Z,2025-01-19 16:09:52.850780
"what animal has 6 legs, an asshole located on its back, and attacks nigga a police horse","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 68, 'end_pos': 72}]",2025-01-19T10:39:55.306041637Z,2025-01-19 16:09:55.118543
nigga are people too said no one ever,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 4}]",2025-01-19T10:40:02.623911878Z,2025-01-19 16:10:03.146054
people are pushing for a new 'black lady' liberty coin... i can't wait to start using nigga as currency again.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 86, 'end_pos': 90}]",2025-01-19T10:40:04.646800014Z,2025-01-19 16:10:04.844480
"eminem 's music really appeals to nigga "" he goes home and barely knows his own daughter ""","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 34, 'end_pos': 38}]",2025-01-19T10:40:06.645788509Z,2025-01-19 16:10:07.143910
"""#blackmonday: """"hey, nigga, we'll show solidarity with you, but not about shit that actually matters.""""""","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 22, 'end_pos': 26}]",2025-01-19T10:40:08.665159211Z,2025-01-19 16:10:08.903387
