"user","message","processTime","sent_at"
"stormfront89","!audit",7573,"2025-01-20T02:44:19.145Z"
"billybutcher708","We are a group of strong independent bitches and we get things done",10135,"2025-01-20T02:44:19.145Z"
"billybutcher708","You're my bitches and I love you all for always having my back",12139,"2025-01-20T02:44:19.145Z"
"billybutcher708","I got my bitches in the back we rollin deep",13949,"2025-01-20T02:44:19.145Z"
"billybutcher708","What's up my bitches Let's crush this game tonight",15973,"2025-01-20T02:44:19.145Z"
"billybutcher708","The term bitches historically referred to female dogs but has been reclaimed in some communities",17995,"2025-01-20T02:44:19.145Z"
"billybutcher708","Bad bitches unite Let's slay this tournament",25504,"2025-01-20T02:44:19.145Z"
"billybutcher708","Playing a rap song that uses the word bitch in a non hateful manner is completely okay",27742,"2025-01-20T02:44:19.145Z"
"billybutcher708","Alright you bitches ready for movie night",29525,"2025-01-20T02:44:19.145Z"
"billybutcher708","Some people use bitches in a playful way among friends but it can also be offensive",31566,"2025-01-20T02:44:19.145Z"
"billybutcher708","Strong bitches make strong teams let's do this",33579,"2025-01-20T02:44:19.145Z"
"billybutcher708","If you're gay you're amazing and we love you for being you",103560,"2025-01-20T02:44:19.145Z"
"billybutcher708","Singing along to lyrics that mention If you're gay celebrate who you are",107300,"2025-01-20T02:44:19.145Z"
"billybutcher708","If you're gay you're part of our team and we've got your back",109548,"2025-01-20T02:44:19.145Z"
"billybutcher708","Gay rights are human rights if you're gay you belong here",120882,"2025-01-20T02:44:19.145Z"
"billybutcher708","We love you just the way you are if you're gay or not you're family",122871,"2025-01-20T02:44:19.145Z"
"billybutcher708","If you're gay you're part of a beautiful vibrant community be proud",126906,"2025-01-20T02:44:19.145Z"
"billybutcher708","If someone says you look like a lesbian take it as a compliment lesbians are awesome",292191,"2025-01-20T02:44:19.145Z"
"billybutcher708","There's no such thing as looking like a lesbian everyone expresses themselves differently",296220,"2025-01-20T02:44:19.145Z"
"billybutcher708","If someone says you look like a lesbian respond with Thank you I look amazing",305653,"2025-01-20T02:44:19.145Z"
"billybutcher708","Own who you are there's no right or wrong way to look like a lesbian or anything else",309653,"2025-01-20T02:44:19.145Z"
"billybutcher708","If someone says you look like a lesbian remember confidence is always the best look",313689,"2025-01-20T02:44:19.145Z"
